,Model_ds,AUC-ROC,AUC-PR,Applied_Threshold,Balanced_Accuracy,Brier_Score,Brier_Score_Bal,ECE,Calibration_Slope,Accuracy,Recall (Sens),Precision (PPV),Specificity,NPV,True_Positives,False_Positives,True_Negatives,False_Negatives
84,standard5/20% Temporal,0.6750907425625021,0.2511331263288225,0.19842295348644257,0.6348530592399109,0.11993715912103653,0.3254780535434756,0.03166350896189304,0.13786712714409324,0.6900237529691211,0.556910569105691,0.24909090909090909,0.7127955493741307,0.9038800705467372,137,413,1025,109
85,standard5_mcdropout/20% Temporal,0.6759048814410258,0.25132201956399103,0.195684015750885,0.6400940782704072,0.1199105978012085,0.32505445685464296,0.0333105506654165,0.13942393218162236,0.6817102137767221,0.5813008130081301,0.2482638888888889,0.6988873435326843,0.9070397111913358,143,433,1005,103
86,standard5/40% Temporal,0.6776066578468288,0.26465764115163093,0.1852295994758606,0.6378975994210568,0.11959265172481537,0.32045588961191107,0.03663829049967106,0.1420083577175671,0.6347980997624703,0.6422764227642277,0.23065693430656933,0.633518776077886,0.9119119119119119,158,527,911,88
87,standard5_mcdropout/40% Temporal,0.6774172574827277,0.2644593628573678,0.18124988675117493,0.6372813415199521,0.11962929368019104,0.32025924492697466,0.037083296556547816,0.14261672784572393,0.6193586698337292,0.6626016260162602,0.2260748959778086,0.6119610570236439,0.9138110072689511,163,558,880,83
88,standard5/60% Temporal,0.6557521173264584,0.23103177771315278,0.17651794850826263,0.6208035098431652,0.12263856828212738,0.32022349976259074,0.04488170506861812,0.11568596691189549,0.5653206650831354,0.6991869918699187,0.20722891566265061,0.5424200278164116,0.9133489461358314,172,658,780,74
89,standard5_mcdropout/60% Temporal,0.6555966394156292,0.2342653561643143,0.18794073164463043,0.6205123421192488,0.12267377972602844,0.3200121008544021,0.04561518191309057,0.11632216929899628,0.6051068883610451,0.6422764227642277,0.21496598639455783,0.5987482614742698,0.9072708113804004,158,577,861,88
90,standard6/0%,0.6899205083844997,0.3018283872162463,0.19578619301319122,0.6559528251749833,0.11896312236785889,0.33097689872024777,0.05711776809213846,0.20988197237002906,0.6828978622327792,0.6178861788617886,0.25675675675675674,0.694019471488178,0.9139194139194139,152,440,998,94
91,standard6_mcdropout/0%,0.6884533622804935,0.2998177432848646,0.20471274852752686,0.656597351787148,0.1190742775797844,0.33089485408436803,0.05391445596461271,0.2093865595728755,0.7185273159144893,0.5691056910569106,0.2755905511811024,0.7440890125173852,0.9098639455782312,140,368,1070,106
92,standard6/10% MCAR,0.6885720908669448,0.2807025253471138,0.2029191106557846,0.6591104402003687,0.11922076344490051,0.3300106588838311,0.05275495546358923,0.2066044044046187,0.7084323040380047,0.5894308943089431,0.27102803738317754,0.7287899860917941,0.9120974760661444,145,390,1048,101
93,standard6_mcdropout/10% MCAR,0.6883713830184198,0.2790052280536421,0.20052357017993927,0.6548305573459072,0.11927146464586258,0.3298019799459939,0.0530441503533806,0.207009878630378,0.6953681710213777,0.5975609756097561,0.2620320855614973,0.7121001390820584,0.9118432769367765,147,414,1024,99
94,standard6/20% MCAR,0.6855332044280109,0.30412118834339863,0.19742901623249054,0.6442382713117812,0.11911521852016449,0.3301382020819998,0.05053501074686823,0.20525934324122613,0.668646080760095,0.6097560975609756,0.24509803921568626,0.6787204450625869,0.9104477611940298,150,462,976,96
